"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/13","","213","-8.5","-3.84","111,261","23,697","221.5","210","216","210","2.71","16.2","2.03","","","","",""
="2330","台積電","市","10/13","","1415","-25","-1.74","60,322","84,889","1440","1390","1420","1390","2.08","25.1","8.01","","","","",""
="2308","台達電","市","10/13","","1030","+31","+3.1","24,053","24,212","999","968","1045","968","7.71","61.2","12.61","","","","",""
="2454","聯發科","市","10/13","","1315","-30","-2.23","8,123","10,673","1345","1330","1330","1300","2.23","19.7","5.57","","","","",""
="3231","緯創","市","10/13","","145.5","-5.5","-3.64","72,177","10,485","151","142.5","148","142","3.97","21.4","3.06","","","","",""
="3491","昇達科","櫃","10/13","","452","-17.5","-3.73","1,578","708","469.5","437","455","437","3.83","59.3","12.07","","","","",""
="3008","大立光","市","10/13","","2320","-150","-6.07","2,502","5,733","2470","2305","2325","2240","3.44","13.6","1.74","","","","",""
="3443","創意","市","10/13","","1500","-15","-0.99","3,477","5,158","1515","1450","1505","1445","3.96","55.5","18.61","","","","",""
="3661","世芯-KY","市","10/13","","3370","-145","-4.13","1,899","6,364","3515","3375","3415","3280","3.84","42.5","7.77","","","","",""
="2301","光寶科","市","10/13","","168","-3","-1.75","24,693","4,121","171","162","170","161","5.26","29.2","4.74","","","","",""
="4967","十銓","市","10/13","","125","+11","+9.65","46,780","5,693","114","111","125","110","13.2","52.1","2.77","","","","",""
="2344","華邦電","市","10/13","","43","-0.45","-1.04","399,485","17,058","43.45","40.35","43.8","40.35","7.94","","2.21","","","","",""
="2882","國泰金","市","10/13","","65.3","-1.1","-1.66","19,255","1,260","66.4","66.3","66.3","65.1","1.81","12.5","1.38","","","","",""
="2891","中信金","市","10/13","","42.15","-0.45","-1.06","39,116","1,650","42.6","42.4","42.45","41.85","1.41","12","1.92","","","","",""
="2884","玉山金","市","10/13","","32.5","-0.5","-1.52","28,160","917","33","33","33","32.35","1.97","17.2","2.09","","","","",""
="2880","華南金","市","10/13","","29.25","0","0","13,273","386","29.25","29.3","29.3","28.75","1.88","17.1","1.87","","","","",""
="0050","元大台灣50","市","10/13","","61","-0.6","-0.97","277,611","16,788","61.6","59.9","61","59.6","2.27","0","1.0063","","","","",""
="00878","國泰永續高股息","市","10/13","","21.31","-0.21","-0.98","79,702","1,692","21.52","21.1","21.32","21.09","1.07","0","0.9972","","","","",""
="006208","富邦台50","市","10/13","","142.05","-1.8","-1.25","12,021","1,697","143.85","139.55","142.1","139.55","1.77","0","0.9989","","","","",""
