代號,名稱,市場,成交,漲跌價,漲跌幅,成交張數,昨收,最高,最低,PER,PBR,K值(日),D值(日),J值(日),KD近期交叉時間(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),+DI(日),-DI(日),ADX(日),布林%b,布林中軌,布林上軌,布林下軌,5日均線,20日均線,60日均線,外資5日累計,外資1月累計,投信5日累計,投信1月累計,技術評分,評分原因,關鍵訊號,趨勢強度,漲跌幅數值
006208,富邦台50,市,149.35,3.65,2.51,11744.0,145.7,149.75,148.9,,1.0055,84.1,83.9,84.6,今日,71.5,71.4,4.55,4.5,0.11,49.4,19.3,45.8,0.88,142.1,151.7,132.5,147.4,142.1,130.6,"-3,367","-8,424",-150,+39,9.5,KD多頭 | RSI強勢 | MACD多頭 | DMI強勢多頭 | 布林強勢 | 均線多排,KD黃金交叉 / ✨完美均線,極強,2.51
2344,華邦電,市,50.9,4.6,9.94,85726.0,46.3,50.9,50.2,,2.61,83.4,78.1,94.1,今日,81.6,77.4,4.96,4.71,0.5,48.8,9.9,59.9,0.99,40.76,51.07,30.45,46.72,40.76,28.02,"+95,073","+67,322","+2,813","+42,378",9.5,KD多頭 | RSI強勢 | MACD多頭 | DMI強勢多頭 | 布林強勢 | 均線多排,KD黃金交叉 / ✨完美均線,極強,9.94
4967,十銓,市,137.0,9.0,7.03,7062.0,128.0,137.0,132.0,57.3,3.04,83.7,80.7,89.7,今日,87.9,84.4,13.0,11.6,2.79,46.3,5.21,58.8,0.85,110.7,148.3,72.99,130.0,110.7,87.46,"+1,032","+9,514",+280,+422,9.5,KD多頭 | RSI強勢 | MACD多頭 | DMI強勢多頭 | 布林強勢 | 均線多排,KD黃金交叉 / ✨完美均線,極強,7.03
2317,鴻海,市,246.5,7.5,3.14,80709.0,239.0,249.0,243.0,18.8,2.34,86.0,76.3,105.0,,75.6,69.2,7.56,5.5,4.12,42.7,15.8,28.4,0.97,225.8,247.6,203.9,241.1,225.8,210.2,"+71,510","+126,760","-2,471","-7,127",9.0,KD多頭 | RSI強勢 | MACD多頭 | DMI多頭 | 布林強勢 | 均線多排,✨完美均線,極強,3.14
0050,元大台灣50,市,63.8,1.45,2.33,104776.0,62.35,63.9,63.45,,1.0076,85.2,84.6,86.3,今日,70.9,71.3,1.78,1.72,0.13,48.0,21.7,37.1,0.87,60.86,64.85,56.87,63.03,60.86,55.89,"-255,300","-698,428","+14,300","+25,591",9.0,KD多頭 | RSI強勢 | MACD多頭 | DMI多頭 | 布林強勢 | 均線多排,KD黃金交叉 / ✨完美均線,極強,2.33
00878,國泰永續高股息,市,21.73,0.22,1.02,63083.0,21.51,21.8,21.69,,0.995,76.3,65.4,98.1,,81.3,71.7,0.14,0.13,0.02,43.6,20.2,23.8,1.13,21.38,21.66,21.11,21.54,21.38,21.03,"+32,324","+106,701",0,0,8.0,KD多頭 | RSI強勢 | MACD多頭 | DMI轉多 | 布林超買 | 均線多排,✨完美均線,極強,1.02
3443,創意,市,1600.0,-15.0,-0.93,4873.0,1615.0,1690.0,1600.0,59.1,19.85,70.9,74.5,63.6,1日前,63.4,65.9,78.4,60.4,36.1,39.4,12.5,35.9,0.8,1458.0,1695.0,1220.0,1616.0,1458.0,1340.0,"+1,072","+7,232",-361,+253,8.0,KD轉多 | RSI強勢 | MACD多頭 | DMI多頭 | 布林強勢 | 站穩月線,,極強,-0.93
2880,華南金,市,29.75,-0.1,-0.34,11991.0,29.85,30.0,29.5,17.5,1.91,77.5,78.7,75.2,今日,60.1,61.0,0.19,0.17,0.04,21.0,20.9,14.5,0.77,29.48,29.99,28.96,29.75,29.48,29.05,"+11,593","+30,682","-3,281",+745,7.5,KD轉多 | RSI強勢 | MACD多頭 | DMI轉多 | 布林強勢 | 站穩月線,,極強,-0.34
2308,台達電,市,1070.0,60.0,5.94,14666.0,1010.0,1075.0,1035.0,63.6,13.1,69.7,66.9,75.3,今日,77.1,74.3,59.5,61.9,-4.8,42.5,6.76,60.3,0.89,967.4,1100.0,834.6,1027.0,967.4,796.9,"+7,045","-1,253",-909,"-1,095",7.5,KD多頭 | RSI強勢 | DMI強勢多頭 | 布林強勢 | 均線多排,KD黃金交叉 / ✨完美均線,極強,5.94
2330,台積電,市,1480.0,30.0,2.07,36024.0,1450.0,1500.0,1480.0,26.3,8.38,71.0,74.9,63.1,即將交叉,64.4,66.9,56.4,58.1,-3.38,47.7,20.2,46.7,0.78,1412.0,1535.0,1288.0,1470.0,1412.0,1265.0,"-16,941","-63,356","+3,189","+6,767",7.0,KD轉多 | RSI強勢 | DMI強勢多頭 | 布林強勢 | 均線多排,✨完美均線,極強,2.07
2301,光寶科,市,182.0,11.5,6.74,63266.0,170.5,185.0,176.5,31.9,5.13,65.6,50.3,96.1,,78.0,67.1,4.27,4.81,-1.07,34.8,14.7,28.8,1.15,169.2,179.1,159.4,170.0,169.2,149.2,"+8,950","-18,107","-6,686","-13,563",6.5,KD多頭 | RSI強勢 | DMI多頭 | 布林超買 | 均線多排,✨完美均線,強勢,6.74
3231,緯創,市,146.5,3.5,2.45,59029.0,143.0,147.5,144.0,20.0,3.08,54.3,42.8,77.2,2日前,65.8,63.5,4.86,5.61,-1.52,33.2,16.1,36.8,0.63,141.8,159.4,124.3,143.5,141.8,125.8,"-45,622","-53,879","+11,626","+43,510",5.5,RSI強勢 | DMI多頭 | 布林強勢 | 均線多排,✨完美均線,偏多,2.45
2882,國泰金,市,65.7,0.0,0.0,17331.0,65.7,66.5,65.6,11.4,1.39,31.0,33.5,26.0,,53.1,53.3,0.26,0.33,-0.13,24.9,14.2,23.5,0.6,65.54,66.34,64.75,65.62,65.54,64.41,"+12,613","+36,604","-5,394","-21,110",5.0,RSI強勢 | DMI轉多 | 布林強勢 | 均線多排,✨完美均線,偏多,0.0
2454,聯發科,市,1335.0,40.0,3.09,5937.0,1295.0,1340.0,1310.0,20.0,5.65,45.0,44.3,46.5,今日,53.9,48.2,-17.8,-20.2,4.91,22.0,26.0,14.8,0.69,1321.0,1358.0,1285.0,1328.0,1321.0,1375.0,"-4,397","-17,683",-470,"-3,503",5.0,RSI強勢 | MACD轉多 | 布林強勢 | 站穩月線,MACD黃金交叉,偏多,3.09
2891,中信金,市,42.65,0.65,1.55,52824.0,42.0,43.2,42.45,11.8,1.94,37.0,36.0,39.1,今日,60.6,53.2,-0.07,-0.04,-0.06,29.2,20.5,11.6,0.6,42.52,43.13,41.91,42.28,42.52,42.52,"+5,509","-17,151","-26,743","-60,151",4.5,RSI強勢 | DMI轉多 | 布林強勢 | 站穩月線,,偏多,1.55
3491,昇達科,櫃,446.5,1.0,0.22,1361.0,445.5,453.5,439.0,57.8,11.92,52.9,52.9,53.0,即將交叉,45.7,50.6,7.46,10.1,-5.33,18.7,17.8,29.6,0.39,451.1,471.7,430.5,455.0,451.1,406.6,+493,"+2,265",-344,-805,4.0,KD轉多 | RSI中性 | DMI多頭 | 布林偏強,,偏多,0.22
3661,世芯-KY,市,3065.0,-85.0,-2.7,2208.0,3150.0,3245.0,3065.0,38.6,7.06,36.0,38.2,31.6,今日,34.0,36.6,-141.0,-143.0,4.17,20.0,30.7,23.6,0.13,3283.0,3574.0,2992.0,3205.0,3283.0,3688.0,-874,"-1,542",-63,"-1,210",1.5,MACD轉多 | 布林超賣,MACD黃金交叉 / 🔵布林超賣,偏弱,-2.7
3008,大立光,市,2250.0,-20.0,-0.88,558.0,2270.0,2285.0,2245.0,13.2,1.69,35.1,29.1,47.0,2日前,41.9,42.7,-29.3,-22.1,-14.3,22.3,24.7,14.3,0.29,2323.0,2499.0,2147.0,2259.0,2323.0,2352.0,-83,-16,+6,-88,1.0,RSI中性 | 布林中性,,偏弱,-0.88
2884,玉山金,市,30.3,-2.35,-7.2,280910.0,32.65,31.45,29.9,16.2,1.95,30.2,33.5,23.5,今日,14.9,23.4,-0.4,-0.27,-0.27,7.64,48.0,31.0,-0.45,32.68,33.94,31.43,32.07,32.68,33.23,"-92,067","-87,935","-11,471","-26,354",0.0,RSI超賣 | 布林超賣,🔵RSI超賣 / 🔵布林超賣,偏弱,-7.2
