"代號","名稱","成交","財報季度","稅後淨利(億)","營業金流(億)","投資金流(億)","融資金流(億)","其他金流(億)","淨現金流(億)","自由金流(億)","期初現金餘額(億)","期末現金餘額(億)","每股營業金流(元)","每股投資金流(元)","每股融資金流(元)","每股淨現金流(元)","每股自由金流(元)","現金流量比率(%)","EPS(元)","財報評分"
="2317","鴻海","260","25Q2","1,821","1,441","-2,552","120","-790","-1,782","-1,111","10,487","8,705","10.4","-18.4","0.86","-12.8","-8","6.76","13.12","43"
="2330","台積電","1505","25Q2","14,598","21,348","-10,261","-3,887","-1,546","5,654","11,087","17,991","23,645","82.4","-39.6","-15","21.8","42.8","155","56.31","91"
="2308","台達電","1060","25Q2","437","846","-424","45.9","-128","340","421","1,056","1,395","32.6","-16.3","1.77","13.1","16.2","46","16.82","57"
="2454","聯發科","1300","25Q2","1,063","1,400","-287","-994","-164","-45","1,113","1,899","1,853","88","-18.1","-62.4","-2.83","69.9","54.2","66.79","68"
="3231","緯創","152.5","25Q2","213","-1,339","-263","1,981","-93.1","286","-1,602","544","831","-45.9","-9","67.9","9.82","-54.9","-21.5","7.32","34"
="3491","昇達科","428.5","25Q2","5.05","9.95","-2.37","-3.18","-1.17","3.23","7.58","9.88","13.1","15.2","-3.62","-4.86","4.93","11.6","105","7.72","77"
="3008","大立光","2220","25Q2","228","276","-78.7","-129","-28.6","39.4","198","1,064","1,104","207","-59","-97","29.6","148","86.8","170.69","87"
="3443","創意","1470","25Q2","36.2","43.1","-26.1","-22.3","-0.78","-6.12","17","73.1","67","32.2","-19.5","-16.6","-4.57","12.7","25.8","27.05","64"
="3661","世芯-KY","3250","25Q2","64.2","178","-62.1","-6.71","-31.4","78","116","232","310","221","-76.9","-8.31","96.5","144","138","79.4","70"
="2301","光寶科","195","25Q2","131","158","-60.7","-74.1","-68.1","-45","97.2","967","922","6.91","-2.66","-3.24","-1.97","4.25","14.6","5.71","51"
="4967","十銓","126","25Q2","2.04","-60.2","2.08","5.96","-0.07","-52.2","-58.1","64.6","12.4","-70.6","2.43","6.99","-61.2","-68.1","-104","2.39","32"
="2344","華邦電","54","25Q2","-30.6","73.8","-101","100","-3.77","69.1","-27.5","134","203","1.64","-2.25","2.23","1.53","-0.61","17.6","-0.68","38"
="3711","日月光投控","221","25Q2","341","1,141","-1,351","442","-167","66.1","-209","662","728","26.4","-31.2","10.2","1.53","-4.83","45.8","7.88","45"
="2882","國泰金","64.8","25Q2","845","1,109","-411","774","102","1,574","698","6,791","8,365","7.56","-2.8","5.28","10.7","4.76","","5.76","71"
="2891","中信金","42","25Q2","707","590","-115","-593","-9.39","-127","475","5,193","5,066","3.02","-0.59","-3.04","-0.65","2.43","","3.62","67"
="2884","玉山金","30.2","25Q2","302","331","-107","-125","149","249","225","1,419","1,668","2.05","-0.66","-0.77","1.54","1.39","","1.87","67"
="2880","華南金","29.55","25Q2","236","311","-24.7","-208","-55","23.4","286","1,447","1,471","2.24","-0.18","-1.5","0.17","2.06","","1.7","62"
="0050","元大台灣50","64.4","","","","","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.76","","","","","","","","","","","","","","","","","",""
="006208","富邦台50","150.95","","","","","","","","","","","","","","","","","",""
