"代號","名稱","成交","漲跌價","漲跌幅","財報季度","營業成本(%)","營業費用(%)","應收帳款週轉率","應收帳款收現日數","應付帳款週轉率","應付帳款付現日數","存貨週轉率","平均售貨日數","固定資產週轉率","總資產週轉率","淨值週轉率","業外損益(%)","業外佔稅前淨利(%)"
="2317","鴻海","262","+2","+0.77","25Q2","93.8","3.2","7.77","47","5.58","65.4","7.98","45.7","16.8","1.83","4.43","0.44","12.9"
="2330","台積電","1505","0","0","25Q2","41.4","9.86","15.1","24.2","2.43","150","4.89","74.7","1.05","0.52","0.81","2.94","5.69"
="2308","台達電","1010","-50","-4.72","25Q3","66.6","19.9","4.84","75.4","2.74","133","4.04","90.4","4.36","0.91","1.81","0.76","5.33"
="2454","聯發科","1310","+10","+0.77","25Q2","51.3","30.4","8.63","42.3","2.14","171","5.4","67.6","10.2","0.85","1.48","3.09","14.5"
="3231","緯創","155","+2.5","+1.64","25Q2","93.3","3.34","6.28","58.1","6.23","58.6","5.31","68.7","25.7","2.12","8.53","0.45","11.8"
="3491","昇達科","422.5","-6","-1.4","25Q2","50.6","23.9","4.01","90.9","1.46","251","6.58","55.5","1.99","0.57","0.94","1.99","7.24"
="3008","大立光","2210","-10","-0.45","25Q2","45.5","11.7","8.33","43.8","1.02","357","4.31","84.7","1.36","0.31","0.36","2.05","4.57"
="3443","創意","1440","-30","-2.04","25Q2","67.5","16.6","14.6","24.9","4.76","76.7","3.36","109","34.6","1.07","2.55","0.58","3.53"
="3661","世芯-KY","3355","+105","+3.23","25Q2","79","7.77","12.1","30.2","6.37","57.3","4.21","86.7","27.7","0.95","1.37","2.95","18.3"
="2301","光寶科","181","-14","-7.18","25Q3","77.2","13.1","4.16","87.8","1.95","187","4.37","83.4","7.94","0.8","1.88","1.82","15.7"
="4967","十銓","128","+2","+1.59","25Q2","91.1","8.25","6.32","57.7","2.83","129","2.66","137","53.1","1.27","5.3","0.65","48.7"
="2344","華邦電","55.2","+1.2","+2.22","25Q2","73.8","29.6","6.46","56.5","3.43","106","2.71","134","0.82","0.45","0.84","-1.28","27.6"
="3711","日月光投控","225","+4","+1.81","25Q2","83.3","9.83","5.51","66.3","3.46","105","8.59","42.5","1.95","0.86","1.95","0.05","0.67"
="2882","國泰金","64.6","-0.2","-0.31","25Q2","","","1.02","359","","","","","2.76","0.02","0.36","",""
="2891","中信金","41.95","-0.05","-0.12","25Q2","","","0.69","530","","","","","4.15","0.02","0.44","",""
="2884","玉山金","29.8","-0.4","-1.32","25Q2","","","0.49","748","","","","","2.43","0.02","0.34","",""
="2880","華南金","29.3","-0.25","-0.85","25Q2","","","0.79","462","","","","","1.96","0.02","0.31","",""
="0050","元大台灣50","64.4","0","0","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.75","-0.01","-0.05","","","","","","","","","","","","","",""
="006208","富邦台50","150.9","-0.05","-0.03","","","","","","","","","","","","","",""
