代號,名稱,11/4收盤,漲跌價,漲跌幅%,成交張數,K值,RSI6,外資買賣超,投信買賣超,合計買賣超,MA5,MA20,技術面評價,籌碼面評價,11/5預測,操作建議
2317,鴻海,244.0,-7.5,-2.98,90514,59.5,46.1,+4662,-110,+3702,255,235.4,中性震盪,法人買超,⚠️ 續跌-2.98%，觀察$240支撐,觀望
2330,台積電,1505.0,-5.0,-0.33,33795,78.2,66.2,+2907,+940,+3773,1505,1464,偏多格局,法人買超,⚠️ NVDA大跌-3.96%拖累，震盪$1490-1510,✅ 核心續抱，回檔$1490加碼
2308,台達電,975.0,-8.0,-0.81,17518,19.2,33,-3314,+87,-2019,1005,1010,偏空格局,法人賣超,➡️ 小跌，觀望,觀望
2454,聯發科,1315.0,15.0,1.15,6296,37.7,50.1,+2866,+33,+2919,1307→,1320,中性震盪,法人買超,✅ 反彈+1.15%，可續漲$1320-1340,✅ 可觀察進場$1310
3231,緯創,139.0,-4.5,-3.14,52505,38.1,33.3,+2404,-5804,-3996,148.1,145.7,偏空格局,法人賣超,⚠️ 已破停損$140，如未出場立即賣出,🔴 立即停損賣出
3491,昇達科,420.5,-10.0,-2.32,902,20.5,34.8,-341,0,-311,428.4,445,偏空格局,籌碼平穩,⚠️ 重挫，避開,觀望
6669,緯穎,4300.0,-15.0,-0.35,879,85.3,76.1,+29,+71,+90,4278,3890,超買警示,籌碼平穩,➡️ 小跌，觀望,觀望
3008,大立光,2215.0,-30.0,-1.34,304,24.6,39.6,-14,+1,-27,2221,2286,偏空格局,籌碼平穩,➡️ 小跌，觀望,觀望
3443,創意,1635.0,55.0,3.48,8101,51.5,67.8,+244,+355,+669,1531,1518,偏多格局,籌碼平穩,✅ 逆勢大漲+3.48%，續強$1650-1680,✅ 積極持有，目標$1700
3661,世芯-KY,3445.0,-5.0,-0.14,1719,77.2,65,+25,+94,+98,3399,3276,偏多格局,籌碼平穩,➡️ 小跌，觀望,觀望
2301,光寶科,170.0,-10.0,-5.56,33297,45.6,38.2,-3621,-899,-6869,181.1,172.8,偏空格局,法人大賣,⚠️ 重挫，避開,❌ 避開
4967,十銓,126.5,-14.0,-9.96,16199,49.9,46.1,-2408,-1,-2510,131.2,123.8,偏空格局,法人賣超,❌ 暴跌-9.96%，避開,❌ 避開
2344,華邦電,53.3,-3.3,-5.83,40675,82.1,60.5,+3455,-2294,+4342,54.66,46.94,偏多格局,法人買超,⚠️ 重挫-5.83%，震盪$52-55,❌ 避開
3711,日月光投控,239.0,-7.0,-2.85,38238,89.1,76.4,+6114,+1224,+7520,235.7,198.4,超買警示,法人大買,⚠️ 從高點回落，震盪$235-245,⚠️ 持有設停利$235
2408,南亞科,131.5,-5.5,-4.01,150824,80,68.6,-8864,+75,-8218,133.7,109.2,偏多格局,法人大賣,⚠️ 重挫，避開,觀望
2882,國泰金,64.6,0.7,1.1,12223,20.5,44.5,+2591,+449,+3106,64.38,65.24,偏空格局,法人買超,➡️ 小漲，觀望,✅ 金融股抗跌可持有
2891,中信金,42.4,0.35,0.83,29539,25.7,59.2,+3757,-1472,+1946,42.05,42.27,中性震盪,法人買超,➡️ 小漲，觀望,觀望
2884,玉山金,30.3,0.15,0.5,53164,17.4,35.7,+11527,-418,+10385,30.04,31.74,偏空格局,法人大買,➡️ 小漲，觀望,觀望
2880,華南金,29.6,0.2,0.68,8385,37.8,56.4,+2449,+197,+2300,29.41,29.49,中性震盪,法人買超,➡️ 小漲，觀望,觀望
0050,元大台灣50,63.95,-0.2,-0.31,82568,81.9,58.1,-24559,-290,-31823,64.33,62.66,偏多格局,法人大賣,➡️ 小跌，觀望,觀望
00878,國泰永續高股息,21.57,-0.12,-0.55,68775,59.1,44.7,-28368,0,-31227,21.7,21.5,中性震盪,法人大賣,➡️ 小跌，觀望,觀望
006208,富邦台50,149.75,-0.45,-0.3,5161,81.3,58.1,-778,0,-288,150.7,146.5,偏多格局,籌碼平穩,➡️ 小跌，觀望,觀望
