"代號","名稱","成交","漲跌價","漲跌幅","資券週別","更新日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","247","-10.5","-4.08","25W45","11/05","7,608","9,960","197","-2,549","52,467","1.5","0.38","625","675","0","+50","3,810","0.11","0.03","47","0.02","7.26"
="2330","台積電","1460","-40","-2.67","25W45","11/05","1,231","1,718","80","-567","16,320","0.25","0.06","21","35","0","+14","374","0.01","0","7","0.01","2.29"
="2308","台達電","967","-28","-2.81","25W45","11/05","2,150","1,023","15","+1,112","7,473","1.15","0.29","68","53","0","-15","885","0.14","0.03","7","0.01","11.8"
="2454","聯發科","1330","+20","+1.53","25W45","11/05","391","917","7","-533","6,174","1.54","0.38","42","26","0","-16","164","0.04","0.01","5","0.02","2.66"
="3231","緯創","137.5","-13","-8.64","25W45","11/05","7,008","11,594","44","-4,630","56,822","7.15","1.79","297","218","0","-79","1,707","0.21","0.05","28","0.01","3"
="3491","昇達科","422","-18","-4.09","25W45","11/05","278","120","1","+157","4,266","25.5","6.37","13","13","34","-34","229","1.36","0.34","2","0.06","5.37"
="6669","緯穎","4165","-200","-4.58","25W45","11/05","83","190","0","-107","1,465","3.15","0.79","6","0","0","-6","115","0.25","0.06","3","0.07","7.85"
="3008","大立光","2200","-15","-0.68","25W45","11/05","69","24","1","+44","820","2.46","0.61","0","0","0","0","9","0.03","0.01","0","0","1.1"
="3443","創意","1605","+75","+4.9","25W45","11/05","1,374","1,446","2","-74","4,188","12.5","3.13","5","51","1","+45","159","0.47","0.12","11","0.06","3.8"
="3661","世芯-KY","3340","-155","-4.43","25W45","11/05","343","389","1","-47","5,194","26.4","6.42","14","6","0","-8","75","0.38","0.09","0","0","1.44"
="2301","光寶科","169","-10.5","-5.85","25W45","11/05","3,434","5,220","29","-1,815","25,072","4.33","1.08","117","116","0","-1","467","0.08","0.02","30","0.04","1.86"
="4967","十銓","134","-1","-0.74","25W45","11/05","2,397","3,355","2","-960","6,570","30.9","7.73","167","326","0","+159","1,023","4.82","1.2","694","1.86","15.6"
="2344","華邦電","56","+1.8","+3.32","25W45","11/05","10,361","20,622","24","-10,285","116,131","10.3","2.58","6,589","6,112","6","-483","26,749","2.38","0.59","6,493","4.12","23"
="3711","日月光投控","235","-12.5","-5.05","25W45","11/05","2,405","2,841","2","-438","5,659","0.51","0.13","262","111","0","-151","1,059","0.1","0.02","20","0.02","18.7"
="2408","南亞科","138","+5.5","+4.15","25W45","11/05","30,961","21,793","2","+9,166","117,704","15.2","3.8","3,042","2,708","5","-339","18,974","2.45","0.61","593","0.1","16.1"
="2882","國泰金","64.1","+0.1","+0.16","25W45","11/05","156","166","2","-12","6,094","0.17","0.04","3","9","0","+6","467","0.01","0","0","0","7.66"
="2891","中信金","42.25","+0.4","+0.96","25W45","11/05","145","180","20","-55","5,286","0.11","0.03","11","4","0","-7","131","0","0","0","0","2.48"
="2884","玉山金","30.3","+0.55","+1.85","25W45","11/05","1,031","1,812","197","-978","16,336","0.4","0.1","33","46","1","+12","85","0","0","3","0","0.52"
="2880","華南金","29.7","+0.5","+1.71","25W45","11/05","4","30","0","-26","441","0.01","0","0","0","0","0","46","0","0","0","0","10.4"
="0050","元大台灣50","63.15","-1.6","-2.47","25W45","11/05","1,032","970","23","+39","8,034","0.23","0.06","50","49","0","-1","1,833","0.05","0.01","7","0","22.8"
="00878","國泰永續高股息","21.46","-0.26","-1.2","25W45","11/05","486","94","17","+375","5,067","0.1","0.02","2","7","0","+5","34","0","0","2","0","0.67"
="006208","富邦台50","147.55","-4.25","-2.8","25W45","11/05","56","32","1","+23","343","0.07","0.02","2","0","0","-2","12","0","0","2","0.01","3.5"
