"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","248","+1","+0.4","11/06","9.16↘","9.31↘","-0.31↘","19.7↗","14.9↗","9.74↘","23.4↗","17.7↗","11.5↗"
="2330","台積電","1465","+5","+0.34","11/06","41.8↘","50.6↘","-17.7↘","116↗","90↗","52.2↘","173↗","136↗","74.3↗"
="2308","台達電","978","+11","+1.14","11/06","27.6↘","43.7↘","-32.3↗","152↘","129↗","45.7↘","135↗","71.7↗","127↗"
="2454","聯發科","1290","-40","-3.01","11/06","-15.9↘","-17.3↗","2.91↘","-10.2↘","0.17↘","-20.7↘","97.2↘","119↘","-43.6↘"
="3231","緯創","142","+4.5","+3.27","11/06","2.67↘","4.35↘","-3.36↘","8.81↘","6.59↗","4.45↘","14.1↗","12.4↗","3.28↗"
="3491","昇達科","435","+13","+3.08","11/06","-2.19↗","1.57↘","-7.52↗","22.9↘","18.6↗","8.67↘","57.3↗","54.7↗","5.28↘"
="6669","緯穎","4320","+155","+3.72","11/06","251↘","248↗","6.68↘","444↗","328↗","232↗","524↗","340↗","368↗"
="3008","大立光","2210","+10","+0.45","11/06","-35.5↘","-32.3↘","-6.25↗","-34.7↘","-23.3↘","-22.8↘","-37.9↘","-4.21↘","-67.3↘"
="3443","創意","1735","+130","+8.1","11/06","64↗","56.3↗","15.3↗","102↗","62.2↗","80↗","81.8↗","56.8↗","49.8↗"
="3661","世芯-KY","3670","+330","+9.88","11/06","-14.9↗","-73.3↗","117↗","95.3↗","166↘","-142↗","375↗","344↗","60.4↘"
="2301","光寶科","169","0","0","11/06","3.46↘","5.01↘","-3.11↘","17.7↘","15↗","5.4↘","16.6↗","9.45↗","14.3↗"
="4967","十銓","138","+4","+2.99","11/06","10.1↘","11↘","-1.83↗","12.8↗","5.72↗","14.1↗","7.6↗","5.08↗","5.04↗"
="2344","華邦電","59","+3","+5.36","11/06","5.97↗","5.69↗","0.56↗","8.54↗","5.11↗","6.87↗","3.87↗","-0.09↗","7.9↗"
="3711","日月光投控","234","-1","-0.43","11/06","18.2↘","14.8↗","6.81↘","17↗","8.25↗","17.5↗","18.3↗","12.2↗","12.2↗"
="2408","南亞科","148","+10","+7.25","11/06","16.7↗","15.1↗","3.19↗","20.5↗","11.9↗","17.2↗","8.88↗","-1.48↗","20.7↗"
="2882","國泰金","64.7","+0.6","+0.94","11/06","-0.22↗","-0.05↘","-0.35↗","0.55↘","0.47↗","0.15↘","3.31↘","3.67↘","-0.72↘"
="2891","中信金","42.55","+0.3","+0.71","11/06","-0.1↗","-0.12↗","0.04↗","0.46↘","0.66↘","-0.39↗","3.7↘","3.74↘","-0.08↘"
="2884","玉山金","29.95","-0.35","-1.16","11/06","-0.83↗","-0.71↘","-0.22↗","0.21↘","0.76↘","-1.1↘","1.37↘","1.16↗","0.43↘"
="2880","華南金","29.6","-0.1","-0.34","11/06","0.07↗","0.1↘","-0.06↗","0.57↘","0.54↗","0.06↘","1.59↗","1.45↗","0.29↗"
="0050","元大台灣50","63.3","+0.15","+0.24","11/06","1.44↘","1.67↘","-0.45↘","-18.8↗","-24.4↗","11.2↗","-21.9↘","-6.67↘","-30.5↗"
="00878","國泰永續高股息","21.55","+0.09","+0.42","11/06","0.11↘","0.14↘","-0.05↘","0.09↗","-0.02↗","0.23↘","0.23↗","0.43↘","-0.4↗"
="006208","富邦台50","148.4","+0.85","+0.58","11/06","3.66↘","4.25↘","-1.19↘","9.85↗","7.62↗","4.45↘","14↗","10.9↗","6.38↗"
