"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","244","-4","-1.61","11/07","32.2↘","24.6↗","31.1↘","27.3↘","37.6↘","16.6↗","35.5↗","29.4↘","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1460","-5","-0.34","11/07","32.9↘","25.1↗","38.8↘","43.6↘","36.9↘","9.11↗","38.7↗","29.5↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","965","-13","-1.33","11/07","27.2↘","26.2↗","43.6↘","50.6↘","45.6↘","9.39↗","60.8↗","43.7↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1260","-30","-2.33","11/07","13.7↘","23.5↗","15.7↗","17↘","21.9↘","24.8↗","10.2↘","14.2↘","23.5↘","16.1↗","21.3↘","23.5↘"
="3231","緯創","137.5","-4.5","-3.17","11/07","27.8↘","26.4↘","28.9↘","33.9↘","30.8↘","22.6↗","17.8↘","13.4↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","431","-4","-0.92","11/07","22.7↘","22↘","18.6↘","27.5↘","24.4↘","18.1↗","24.5↘","22.1↘","27.9↘","11.6↗","38.1↗","38↗"
="6669","緯穎","4075","-245","-5.67","11/07","35.1↘","18.6↗","38.6↘","29.6↗","38.1↘","8.58↘","40↗","30.9↗","39.9↘","10.3↘","39.4↗","41↘"
="3008","大立光","2205","-5","-0.23","11/07","17.7↗","27↘","15.7↗","16.6↗","17.2↘","24.4↗","15.6↗","20↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1720","-15","-0.86","11/07","41.2↘","16.9↗","32.4↗","30.1↗","32↘","15.4↘","20.5↗","16.3↗","27.5↘","16.1↘","17.5↗","24↘"
="3661","世芯-KY","3565","-105","-2.86","11/07","31.1↘","22.5↘","17.9↘","21.1↗","21↗","20.5↘","18.3↘","18.6↗","29.9↗","18.5↘","29.8↘","34.2↘"
="2301","光寶科","166.5","-2.5","-1.48","11/07","25.7↘","27.3↗","23↘","27↘","39.3↘","13.5↗","42.2↗","29.9↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","137","-1","-0.72","11/07","31.4↘","18.5↘","50↘","50.5↗","37.3↘","10.5↗","34.5↗","26.8↗","39.9↘","11.7↘","36.3↗","40.3↗"
="2344","華邦電","58.1","-0.9","-1.53","11/07","41.1↘","18.3↗","58.7↘","59.1↘","50.5↘","3.09↘","47.4↗","32.8↗","47.1↘","10↘","24.2↗","19.7↗"
="3711","日月光投控","228.5","-5.5","-2.35","11/07","43.8↘","18.8↗","49↘","40.4↗","45.1↘","7.95↘","27.8↗","21.5↗","38.1↘","10.4↘","34.7↗","35.6↗"
="2408","南亞科","147","-1","-0.68","11/07","41.9↗","14.6↘","55.1↘","53.5↘","54.3↘","3.84↘","45.5↗","33.2↗","49.9↘","10.7↘","23↗","16.8↗"
="2882","國泰金","63.5","-1.2","-1.85","11/07","19.8↘","22.5↗","15.2↘","19.4↘","16.7↘","18.2↗","9.16↘","12.9↘","20↘","18.4↗","18.9↘","23↗"
="2891","中信金","41.9","-0.65","-1.53","11/07","24.9↘","24.4↗","8.04↘","10.4↘","17.8↘","20↘","12.2↘","15↘","26.4↘","12.9↘","36.4↘","34.1↗"
="2884","玉山金","29.6","-0.35","-1.17","11/07","15.6↘","36.4↗","43↘","33.1↗","16.7↘","32.6↘","16↗","18.2↗","23.8↘","23.3↘","12.5↘","12.6↘"
="2880","華南金","29.75","+0.15","+0.51","11/07","15.2↘","18.1↘","13.3↘","15.7↘","24.3↘","18.5↘","16.1↘","15.6↘","22.7↘","11.5↘","24.6↗","22.2↗"
="0050","元大台灣50","62.55","-0.75","-1.18","11/07","34.3↘","31.5↗","31.6↘","34.2↘","20.2↘","51.2↘","50.6↘","47.7↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.33","-0.22","-1.02","11/07","30.1↘","35.9↗","20.9↘","21.5↘","24.9↘","31.6↗","21.4↘","26.3↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","146.25","-2.15","-1.45","11/07","35.3↘","31↗","38↘","42.2↘","40.8↘","11.9↗","36.1↗","27.6↗","43.1↘","15.9↘","31.7↗","31.4↗"
