"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減","2日增減","3日增減","5日增減","10日增減","1個月增減","3個月增減","半年增減","1年增減","今年增減"
="2317","鴻海","244","-4","-1.61","50,319","11/07","+0.18","+0.24","-1.17","-0.75","-0.21","+1.41","+1.36","+2.08","+0.78","+4.21"
="2330","台積電","1460","-5","-0.34","23,552","11/07","+0.07","+0.06","-0.54","-0.38","-0.52","-0.36","-1.27","-8.45","+0.26","+0.08"
="2308","台達電","965","-13","-1.33","9,673","11/07","+0.16","+0.17","+0.43","-1.88","-7.62","-6.41","-14.3","+3.72","+3.63","-9.72"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","+0.02","-0.18","-0.12","-0.15","-0.16","-0.56","+0.79","+1.26","-1.89","+2.54"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","-0.15","+0.12","+0.34","+0.44","+0.21","-0.69","-1.16","-8.93","+0.82","+1.28"
="3491","昇達科","431","-4","-0.92","828","11/07","+0.22","-1.13","-1.6","-2.63","-8.16","-0.18","+1.62","-4.27","-1.66","-1.88"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","+0.72","+0.41","+0.12","+0.28","+0.59","+3.1","+4.33","+3","+5.55","0"
="3008","大立光","2205","-5","-0.23","496","11/07","-0.04","-0.04","-0.19","-0.25","-0.26","-0.72","+0.91","-0.45","+0.76","-0.57"
="3443","創意","1720","-15","-0.86","4,858","11/07","-0.23","+0.48","-0.06","+1.06","-1","+0.77","-1.23","-7.32","-0.58","-2.45"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","-0.68","+0.65","+0.39","+0.25","+0.59","+0.77","-7.47","-1.16","-1.24","-8"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","+0.02","-0.11","+0.05","+0.17","-1.59","-1.52","-1.92","-5.96","+1.22","+1.33"
="4967","十銓","137","-1","-0.72","22,208","11/07","-1.07","-1.74","-3.9","+0.19","-2.58","+3.78","+10.2","+9.62","-5.85","-2.46"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","+0.66","+0.09","-1.13","+0.37","-0.3","+3.5","+17.3","+18.3","+19.9","+20.4"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","0","-1.75","-5.64","-6.78","+0.42","+7.74","+8.23","+11.2","+10.4","+4.2"
="2408","南亞科","147","-1","-0.68","233,103","11/07","-0.78","-0.31","-0.69","-2.36","-3.57","-0.09","+0.43","-24.6","+12.7","+2.31"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","-0.74","-0.53","-0.71","-0.6","-53.8","-14","-11.8","-9.06","-4.18","-3.89"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","-0.16","+0.05","-0.09","-0.19","+0.34","-0.65","-5.9","-6.14","+1.28","+0.61"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","-0.12","+0.1","+0.1","+0.2","-1.58","-13.2","-10.5","-2.74","-17.2","-2.77"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","+0.05","+0.11","-0.06","+0.53","+0.64","+0.61","+10.4","+1.61","+6.42","+7.82"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","-0.83","-0.87","-4.6","-4.72","-1.84","-4.34","+10.5","-7.34","-0.27","-3.89"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","-0.14","-0.11","-0.25","-0.19","-0.49","-0.51","+0.03","-0.7","+0.05","-0.16"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","+0.02","-0.51","-0.53","-1.41","-3.23","-6.1","-2.86","+2.01","+0.16","+1.57"
