"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","244","-4","-1.61","50,319","11/07","-1.82","-0.52","+11.7","+6.48","+9.88","+14.7","+13","-3.39","-29.5","-40.2"
="2330","台積電","1460","-5","-0.34","23,552","11/07","-0.52","+0.05","+14.6","+10.7","+9.89","+21.8","+20.1","-11.1","-42.7","-28.5"
="2308","台達電","965","-13","-1.33","9,673","11/07","-0.47","+2.04","-6.41","+9.95","+34.3","+29.8","+155","+296","+122","+283"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","+2.29","+6.99","+4.1","-4.17","+5.17","+10.7","+9.9","+20.7","+24.4","+47.5"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","-0.01","-0.73","-3.66","-10.9","-1.81","-4.62","+43.4","+26.6","-36.6","-35.6"
="3491","昇達科","431","-4","-0.92","828","11/07","+0.43","-2.37","-2.37","+1.36","+3.07","-2.21","-1.63","+14.7","-14.3","-1.14"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","-0.97","+3.38","+4.44","-2.67","-0.84","-4.38","-14.2","-33.2","-40.3","-18.1"
="3008","大立光","2205","-5","-0.23","496","11/07","+3.9","+4.52","+7.2","+13.3","+14.2","+19.1","+19.6","+32.6","-32.9","-31.6"
="3443","創意","1720","-15","-0.86","4,858","11/07","+3.33","+14","+17","+15","+34.9","+34.3","+108","+175","+70.5","+47.8"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","-1.73","+1.17","+1.6","+0.69","-1.88","+4.33","+13.4","+21.7","-0.4","+30.8"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","-0.3","-0.5","-1","-7.68","+8.46","+18.8","+66.8","+195","+19.4","+27.7"
="4967","十銓","137","-1","-0.72","22,208","11/07","+7.44","+14.6","+16.2","+1.42","-4.92","-29.7","+29.5","+45.1","-9.86","+0.09"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","-5.72","-8.53","-9.57","-16.9","-22.8","-33.1","+97","+97.3","+76.4","+76.6"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","-3.49","+3.77","+5.46","-2.12","+13.7","+3.25","+25.7","+42.4","-25.9","-7.73"
="2408","南亞科","147","-1","-0.68","233,103","11/07","+3.07","+8.66","+13.7","+23.3","+40.9","+81.3","+175","+249","+448","+355"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","+4.3","+3.22","+4.3","+4.09","+14.2","+0.28","-3.15","-48.2","-48","-43.6"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","+5.11","+0.34","-0.38","-1.4","-7.42","-0.32","-17","-59.7","-79.1","-73.7"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","+1.02","+1.41","+1.41","-4.32","+75.6","+973","+612","+388","+213","+231"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","-0.44","+1.12","+2.72","-3","-6.21","-9.76","-57.4","-46.3","-83.1","-81.9"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","+5.66","+5.46","+15","+15.5","+8.11","+37.7","+51.8","+159","+633","+863"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","+1.31","-0.4","+7.07","+15.6","+29.8","+14.5","-50.3","-48.4","-41.3","-40.5"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","-0.59","-2.32","-1.75","+5.31","-9.16","-1.46","-14.7","-82.2","-72.2","-66.3"
