"代號","名稱","成交","漲跌價","漲跌幅","財報季度","排名統計季數","應收帳款週轉率歷季排名","應付帳款週轉率歷季排名","存貨週轉率歷季排名","固定資產週轉率歷季排名","總資產週轉率歷季排名","淨值週轉率歷季排名","利息保障倍數歷季排名"
="2317","鴻海","246.5","-3","-1.2","25Q2","123","+29","+41","-29","+39","-61","+43","-34"
="2330","台積電","1465","-10","-0.68","25Q2","123","+1","-38","-15","+43","-56","+24","+27"
="2308","台達電","972","-10","-1.02","25Q3","124","+33","-34","-15","-15","-54","+51","-24"
="2454","聯發科","1240","-10","-0.8","25Q2","103","-38","-35","+52","-40","+37","+15","-32"
="3231","緯創","144.5","+6","+4.33","25Q2","92","-13","-41","-4","+27","-21","-28","+39"
="3491","昇達科","421.5","-8","-1.86","25Q2","77","+24","-4","+22","+21","-26","+20","-9"
="6669","緯穎","4720","+425","+9.9","25Q3","35","+17","-17","-12","-8","+17","-14","+10"
="3008","大立光","2215","-30","-1.34","25Q3","101","+49","-37","-23","-8","-15","-13","+41"
="3443","創意","1910","+20","+1.06","25Q3","82","+17","-20","-2","+11","-6","-25","-25"
="3661","世芯-KY","3635","-80","-2.15","25Q2","55","+8","-27","-12","+4","-14","-17","+3"
="2301","光寶科","167.5","-1.5","-0.89","25Q3","124","-39","-12","-7","-42","-11","-8","-50"
="4967","十銓","140.5","-8.5","-5.7","25Q2","40","-1","-3","-5","+6","-2","-12","-17"
="2344","華邦電","64.5","+0.6","+0.94","25Q3","124","-15","-56","-3","-48","-52","-60","-40"
="3711","日月光投控","228","-0.5","-0.22","25Q3","32","-9","-8","+5","-3","-10","-11","-6"
="2408","南亞科","164.5","+3","+1.86","25Q3","106","-14","+30","-8","-31","-18","-12","-28"
="2882","國泰金","64.8","+1","+1.57","25Q2","95","-1","","","-5","-3","-1",""
="2891","中信金","43.35","+0.95","+2.24","25Q2","93","+43","","","+25","-11","-32",""
="2884","玉山金","30.15","+0.65","+2.2","25Q2","92","+40","","","+5","+44","+18",""
="2880","華南金","29.8","+0.15","+0.51","25Q2","95","-23","","","+18","-16","+42",""
="0050","元大台灣50","62.9","-0.45","-0.71","","","","","","","","",""
="00878","國泰永續高股息","21.38","+0.04","+0.19","","","","","","","","",""
="006208","富邦台50","147.1","-0.9","-0.61","","","","","","","","",""
