"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","-19","-14","+28","-258","-49","+1,281","+1,214","+1,240","-963","+1,712"
="2330","台積電","1465","-10","-0.68","24,857","11/11","-7","-15","-4","-61","-55","-25","-160","-1,675","-221","-124"
="2308","台達電","972","-10","-1.02","11,381","11/11","+15","-6","+1","-33","-198","-205","+114","+716","+581","+451"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","-4","-5","0","-6","-25","-23","+52","+77","-40","+158"
="3231","緯創","144.5","+6","+4.33","84,454","11/11","+50","+65","-20","+189","+129","-446","+86","-3,533","-953","+142"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","+25","+35","+45","-37","-130","+31","+97","-105","-37","-46"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","+4","+4","+14","+11","+12","+54","+16","+20","+57","-23"
="3008","大立光","2215","-30","-1.34","333","11/11","+1","+1","+1","0","+1","-3","+9","0","+7","-10"
="3443","創意","1910","+20","+1.06","8,543","11/11","+3","+77","+72","+101","+143","+147","+170","+28","+115","+55"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","-12","+6","-32","+28","+55","+38","-417","-119","-74","-294"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","-24","-3","0","+4","-440","-162","+167","-175","+313","+358"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","-81","+96","+82","-36","+25","+142","+888","+888","-262","-91"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","-1,741","-3,233","-3,895","-6,975","-8,706","-12,633","+17,089","+15,674","+17,507","+18,858"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","+2","+8","-20","-271","+62","+461","+536","+657","+548","+214"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","-2,296","+1,360","+967","+3,031","+3,103","+8,630","+14,273","+3,417","+21,291","+18,148"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","+60","+56","+29","+31","+4","-168","-739","-1,642","-787","-724"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","+31","+40","+38","+35","+27","+28","-347","-946","-106","-191"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","-30","+12","-7","+30","+21","-98","-145","+17","-791","-55"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","0","0","0","+1","0","-2","+47","-29","-9","-17"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","+10","+34","+52","-116","-9","+179","+1,109","+641","+1,484","+1,505"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","-9","-11","-18","-22","-18","-35","+10","+12","+8","-41"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","0","-2","-2","-4","-16","-23","-15","-6","-16","-6"
