"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","251","+4.5","+1.83","11/12","58.2↗","59.5↗","72.8↗","73.4↗","78.9↘","72.4↘","77.1↗","72.4↗","86.7↗","71↗"
="2330","台積電","1475","+10","+0.68","11/12","51.2↗","56.9↗","78.5↗","78.5↗","83.6↘","78.9↘","84.6↗","81↗","91.5↗","88.8↗"
="2308","台達電","967","-5","-0.51","11/12","37.5↘","47.3↘","71.3↗","78.6↗","87.7↘","83.4↘","91.1↗","86.4↗","97.1↗","91.7↗"
="2454","聯發科","1245","+5","+0.4","11/12","27.5↗","33.9↗","28.1↘","38↘","39.4↘","50.6↘","55.6↘","59.2↘","64.5↘","63.2↘"
="3231","緯創","139","-5.5","-3.81","11/12","43↘","47.2↘","53.5↗","57.2↗","62.9↘","62.6↘","77.2↘","75.6↘","91.3↗","80.4↗"
="3491","昇達科","463.5","+42","+9.96","11/12","70.6↗","60.6↗","67.9↗","63.3↗","70.5↗","67.8↗","85.9↗","81.4↗","86.3↗","82.7↗"
="6669","緯穎","4560","-160","-3.39","11/12","63.8↘","65.9↘","77.5↗","75.1↗","88.7↗","79.5↗","77.7↗","74.5↗","95.2↗",""
="3008","大立光","2235","+20","+0.9","11/12","53↗","47.1↗","41.7↗","43.7↗","36.9↗","44.6↗","40.3↘","44.5↘","44.9↘","51.4↘"
="3443","創意","1885","-25","-1.31","11/12","77.2↘","72.7↘","82.7↗","76.2↗","81.3↗","68.7↗","68.6↗","65.9↗","81.7↗","81.2↗"
="3661","世芯-KY","3520","-115","-3.16","11/12","51.9↘","53.2↘","52.3↘","52.4↘","57.1↗","57.5↗","67.5↗","67.6↗","94↗","93.2"
="2301","光寶科","166.5","-1","-0.6","11/12","35.3↘","44.9↘","57.1→","64.3→","74.1↘","70.4↘","79.5↘","76.2↘","84.5↗","76.3↗"
="4967","十銓","148.5","+8","+5.69","11/12","65.4↗","65.9↗","95.5↗","88.4↗","86.8↗","73.6↗","72.8↗","68↗","86.1↗",""
="2344","華邦電","64.8","+0.3","+0.47","11/12","82.3↗","79.2↗","96.9↗","93↗","92.3↗","83.7↗","85.4↗","75.8↗","72.7↗","64.1↗"
="3711","日月光投控","227","-1","-0.44","11/12","52.8↘","64.2↘","73.3↘","73↘","73.4↘","69.7↘","83.1↗","76.7↗","89.1↗",""
="2408","南亞科","163","-1.5","-0.91","11/12","84.2↘","82.7↘","95.4↗","90↗","93.3↗","84.6↗","83.7↗","73.3↗","70.7↗","65.9↗"
="6584","南俊國際","307","-3.5","-1.13","11/12","71.8↘","68↘","80.8↗","73.7↗","80.7↗","76.1↗","84.8↗","","",""
="2882","國泰金","64.9","+0.1","+0.15","11/12","57.4↗","51.5↗","52.6↗","52↗","58.9↗","59.1↗","65.8↘","61.8↘","59.8↘","48↘"
="2891","中信金","43.05","-0.3","-0.69","11/12","62.7↘","58.1↘","61.9↗","56.5↗","66.1↗","67.4↗","77.5↗","72.3↗","79.9↗","62.3↗"
="2884","玉山金","30.2","+0.05","+0.17","11/12","48.6↗","39.2↗","29.5↗","39↗","48↗","53.9↗","55.3↘","57↘","70↗","62.8↗"
="2880","華南金","29.25","-0.55","-1.85","11/12","34.9↘","43.1↘","49.9↘","54.8↘","66.6↗","65.6↗","75.9↘","70.5↘","71↗","42.1↗"
="0050","元大台灣50","63.2","+0.3","+0.48","11/12","49.5↗","56.1↗","53.4↗","33.4↗","24.5↘","29↘","29.2↗","37.1↗","40↘","46↘"
="00878","國泰永續高股息","21.4","+0.02","+0.09","11/12","40.1↗","47.1↗","54.5↗","53.8↗","51.4↘","51.7↘","56.6↗","62↗","71.1",""
="006208","富邦台50","148.05","+0.95","+0.65","11/12","50.7↗","56.3↗","73.4↗","75.9↗","80.1↘","76.5↘","84.1↗","79.3↗","87.7↗","85.7↗"
