代號,名稱,產業別,Q3財報公布狀態,預計公布日期,法說會日期,法說會形式,重要性,觀察重點1,觀察重點2,觀察重點3,投資人關係網址,備註
2330,台積電,半導體,已公布,2025/10/16,2025/10/16,線上,⭐⭐⭐⭐⭐,AI需求,先進製程,Q4展望,investor.tsmc.com,已舉行
2317,鴻海,電子代工,未公布,2025/11/13-14,2025/11/13-14,線上+實體,⭐⭐⭐⭐⭐,AI伺服器,電動車,毛利率,www.honhai.com/investor-relations,重點關注
2454,聯發科,IC設計,未公布,2025/11/8-12,2025/11/8-12,線上,⭐⭐⭐⭐,5G晶片,與高通競爭,毛利率,www.mediatek.com/investor-relations,受高通影響
2308,台達電,電源/自動化,未公布,2025/11/12-14,2025/11/12-14,線上+實體,⭐⭐⭐⭐,AI電源,工業自動化,電動車充電,www.deltaww.com/investor,AI電源強
3231,緯創,電子代工,未公布,2025/11/14前,視情況,線上,⭐⭐⭐,AI代工,新客戶,訂單能見度,www.wistron.com/investor,法人賣超
3491,昇達科,載板,未公布,2025/11/14前,視情況,視情況,⭐⭐,載板需求,產能利用,,,小型股
3008,大立光,光學,未公布,2025/11/10前,財報公布同日,視情況,⭐⭐⭐,手機鏡頭,中國市場,毛利率,www.largan.com.tw/investor,提前公布
3443,創意,IC設計,未公布,2025/11/14前,2025/11/14前,線上,⭐⭐⭐,AI晶片,毛利率,訂單,www.guc-asic.com/investor,近期暴跌
3661,世芯-KY,IC設計,未公布,2025/11/14前,2025/11/14前,線上,⭐⭐⭐,AI ASIC,客戶結構,先進製程,www.alchip.com/investor,持續整理
2301,光寶科,光電,未公布,2025/11/12-14,2025/11/12-14,線上+實體,⭐⭐⭐⭐,AI產品,車用電子,毛利率,www.liteon.com/investor,近期強勢
4967,十銓,記憶體模組,未公布,2025/11/14前,視情況,視情況,⭐⭐,DRAM價格,AI記憶體,,,近期暴跌
2344,華邦電,記憶體,未公布,2025/11/14前,2025/11/14前,視情況,⭐⭐⭐⭐,記憶體價格,AI應用,車用記憶體,www.winbond.com/investor,記憶體強
2882,國泰金,金控,未公布,2025/11/5-10,2025/11月第二週,線上+實體,⭐⭐⭐⭐⭐,壽險獲利,匯率避險,配息政策,www.cathayholdings.com/ir,金控龍頭
2891,中信金,金控,未公布,2025/11/5-10,2025/11月第二週,線上+實體,⭐⭐⭐⭐⭐,銀行獲利,資產品質,ROE,www.chinatrust.com.tw/ir,配息王
2884,玉山金,金控,未公布,2025/11/5-10,2025/11月第二週,線上+實體,⭐⭐⭐⭐,數位金融,資產品質,配息政策,www.esunfhc.com/investor,成長型
2880,華南金,金控,未公布,2025/11/14前,2025/11月中旬,視情況,⭐⭐⭐,傳統業務,配息穩定,,www.hnfhc.com.tw/investor,相對抗跌
0050,元大台灣50,ETF,未公布,2025/11月初,無,N/A,⭐⭐⭐,成分股調整,費用率,,www.yuantaetfs.com,追蹤台股50
00878,國泰永續高股息,ETF,未公布,2025/11月初,無,N/A,⭐⭐⭐,配息,持股明細,,www.cathaysite.com.tw,高股息
006208,富邦台50,ETF,未公布,2025/11月初,無,N/A,⭐⭐⭐,追蹤指數,管理費,,www.fubon.com/etf,追蹤台股50
